sample_name,nodes,edges,time
test-data/data/debian/buster/coreutils/usr_bin_csplit.sample,0052512,000632690,0.5424
test-data/data/debian/buster/coreutils/usr_bin_fmt.sample,0072704,000733616,0.6725
test-data/data/debian/buster/coreutils/bin_ln.sample,0069484,000779992,0.6859
test-data/data/debian/buster/coreutils/usr_bin_pathchk.sample,0029340,000317802,0.2132
test-data/data/byteweight/pe-x86/msvs_whatever_32_Ox_plink.sample,0457404,008647158,10.2103
test-data/data/debian/buster/coreutils/usr_bin_tee.sample,0033432,000393976,0.2750
test-data/data/debian/buster/coreutils/usr_bin_yes.sample,0028088,000283332,0.1710
test-data/data/byteweight/pe-x86/msvs_whatever_32_O1_7z.sample,0045314,000520684,0.4097
test-data/data/debian/buster/coreutils/usr_bin_printenv.sample,0027812,000293798,0.1952
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_printenv.sample,0036752,000449916,0.3579
test-data/data/debian/buster/coreutils/usr_bin_stdbuf.sample,0046828,000500530,0.4382
test-data/data/byteweight/elf-x86/gcc_binutils_32_O3_ld-new.sample,1823316,040480840,49.8572
test-data/data/debian/buster/coreutils/usr_lib_i386-linux-gnu_coreutils_libstdbuf.so.sample,0003028,000026198,0.0140
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_mkfifo.sample,0029304,000351378,0.2749
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_unlink.sample,0029256,000403916,0.2945
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_base64.sample,0033968,000409672,0.2896
test-data/data/debian/buster/coreutils/usr_bin_factor.sample,0091740,001149840,0.9639
test-data/data/debian/buster/coreutils/bin_false.sample,0026864,000279812,0.1851
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_cat.sample,0048296,000672614,0.5916
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_link.sample,0029448,000417930,0.2951
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_expr.sample,0093460,001074190,0.8941
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_realpath.sample,0060232,000808706,0.7192
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O1_cut.sample,0042000,000569962,0.4232
test-data/data/debian/buster/coreutils/usr_bin_install.sample,0169404,002382708,2.3625
test-data/data/debian/buster/coreutils/bin_rm.sample,0067172,000940166,0.8245
test-data/data/debian/buster/coreutils/usr_bin_whoami.sample,0027508,000285400,0.1665
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O3_tail.sample,0082564,001452386,1.3958
test-data/data/byteweight/elf-x86/gcc_coreutils_32_O0_yes.sample,0029196,000413458,0.2920
test-data/data/byteweight/elf-x86/gcc_binutils_32_O0_ar.sample,1080256,015057880,16.7319
test-data/data/debian/buster/coreutils/bin_touch.sample,0099848,001221366,1.0381
